G075.30+01.32	75.30	1.32	0.108	0.005	-2.37	0.09	-4.48	0.17	-57.0	2.2	    22.2	    VLBA	2012ApJ...745...82S
G075.76+00.33	75.76	0.33	0.285	0.022	-3.08	0.06	-4.56	0.08	-9.0	9.0	    22.2	    VLBA	2013ApJ...769...15X
G075.78+00.34	75.78	0.34	0.281	0.034	-2.79	0.07	-4.72	0.07	1.0	5.0	        22.2	    VLBA	2013ApJ...769...15X
G076.38-00.61	76.38	-0.61	0.770	0.053	-3.73	3.00	-3.84	3.00	-2.0	5.0	    22.2	    VLBA	2013ApJ...769...15X
AFGL-2591	    78.89	0.71	0.300	0.010	-1.20	0.32	-4.80	0.12	-5.7	2.0	    22.2	    VLBA	2012A&A...539A..79R
G079.87+01.17	79.87	1.17	0.620	0.027	-3.23	1.31	-5.19	1.31	-5.0	10.0	22.2	    VLBA	2013ApJ...769...15X
NML-Cyg	        80.80	-1.92	0.620	0.047	-1.55	0.42	-4.59	0.41	-3.0	3.0	    22	        VLBA	2012A&A...544A..42Z
G090.21+02.32	90.21	2.32	1.483	0.038	-0.67	3.13	-0.90	3.13	-3.0	5.0	    22.2	    VLBA	2013ApJ...769...15X
G092.67+03.07	92.67	3.07	0.613	0.020	-0.69	0.26	-2.25	0.33	-5.0	10.0    22.2	    VLBA	2013ApJ...769...15X
G094.60-1.79	94.60	-1.79	0.253	0.024	-2.59	0.24	-4.02	0.34	-49.0	5.0	    22	        VLBA	2014ApJ...790...99C
G095.29-0.93	95.29	-0.93	0.206	0.007	-2.75	0.20	-2.76	0.20	-38.0	5.0	    22	        VLBA	2014ApJ...790...99C
G100.37-3.57	100.37	3.57	0.289	0.016	-3.66	0.60	-3.02	0.60	-37.0	10.0    22	        VLBA	2014ApJ...790...99C
G105.41+09.87	105.41	9.87	1.129	0.063	-0.21	2.38	-5.49	2.38	-10.0	5.0	    22.2	    VLBA	2013ApJ...769...15X
G108.20+0.58	108.20	0.58	0.227	0.037	-2.25	0.50	-1.00	0.50	-49.0	5.0	    22	        VLBA	2014ApJ...790...99C
G108.47-2.81	108.47	-2.81	0.309	0.010	-3.13	0.49	-2.79	0.46	-54.0	5.0	    22	        VLBA	2014ApJ...790...99C
G108.59+0.49	108.59	0.49	0.405	0.033	-5.56	0.40	-3.40	0.40	-52.0	5.0	    22	        VLBA	2014ApJ...790...99C
Cep-A	        109.87	2.11	1.430	0.080	0.50	1.10	-3.70	0.20	-10.0	5.0	    12.2	    VLBA	2009ApJ...693..406M
G111.23-1.23	111.23	-1.23	0.300	0.081	-4.37	0.60	-2.38	0.60	-53.0	10.0    22	        VLBA	2014ApJ...790...99C
G111.25-0.77	111.25	-0.77	0.299	0.022	-2.02	0.52	-2.31	0.52	-43.0	5.0	    22	        VLBA	2014ApJ...790...99C
NGC-7538	    111.54	0.78	0.378	0.017	-2.45	0.03	-2.44	0.06	-57.0	3.0	    12.2	    VLBA	2009ApJ...693..406M
IRAS-00420+5530	122.02	-7.07	0.470	0.020	-1.99	0.07	-1.62	0.05	-44.0	5.0	    22.2	    VLBA	2009ApJ...694..192M
